Macroregiao,name,Populacao,Crime/1000hab,Furto/1000hab,Roubo/1000hab,HomDol/1000hab,PosseDrogas/1000hab,Trafico/1000hab,Educacao,Renda,Saúde,PIB,PIB por habitante,regiao
Vales,CACAPAVA DO SUL,34781,17.7970731146,14.2319082258,1.3513124982,0.0575026595,0.4025186165,0.230010638,0.647180258518006,0.591169006314838,0.750985717046428,4819900631,77346.58,Female
Vales,CACHOEIRA DO SUL,86339,19.0180567299,14.6283834652,1.4014524143,0.0694935081,0.6254415733,0.5212013111,0.693095423352827,0.665731494355418,0.768499971835431,14161333004,94513.1,Female
Vales,CANDELARIA,31238,16.7104168001,11.6524745502,1.1844548307,0.224086049,0.4481720981,0.1920737563,0.5235568870284,0.586164968928617,0.805163724354785,4446261570,78633.62,Female
Vales,CANUDOS DO VALE,1890,4.2328042328,3.1746031746,0.5291005291,0,0,0,0.716221049284882,0.672943188691847,0.848659922208534,276661319,84383.77,Female
Vales,CAPITAO,2927,5.8079945337,4.4414075846,0,0,0.3416467373,0,0.727546444906166,0.696089042280882,0.840045026206348,443396260,84552.81,Female
Vales,CERRO BRANCO,4244,6.5975494816,5.4194156456,0,0,0,0,0.668376271374789,0.558051214807897,0.803445632848085,501768468,60262.12,Female
Vales,COLINAS,2809,13.5279458882,11.7479530082,0.711997152,0,0.355998576,0,0.769860516310599,0.721656433543097,0.913755377415739,451266181,94711.84,Female
Vales,COQUEIRO BAIXO,1534,3.259452412,3.259452412,0,0,0,0,0.692450728542062,0.601320015079086,0.913550159517499,236011098,82672.97,Female
Vales,CRUZEIRO DO SUL,12630,16.3103721298,11.0055423595,2.1377672209,0,0.4750593824,0.1583531275,0.743031564390195,0.694656340833414,0.837790064245207,1955572709,89761.88,Female
Vales,DOIS LAJEADOS,3246,5.2372150339,3.3887861984,0.9242144177,0,0,0,0.810660431237147,0.721018252020714,0.888798052968864,633811534,98222.22,Female
Vales,DR MAURICIO CARDOSO,1888,30.7203389831,26.4830508475,0,0,0,0.5296610169,0.771696586143748,0.737757548913705,0.889438841542654,350607073,98231.5,Female
Vales,ENCANTADO,21460,21.4818266542,15.0046598322,0.8853681267,0,1.3979496738,0.6989748369,0.771938617281801,0.748030061930676,0.877720627187742,5014798544,129442.02,Female
Vales,ENCRUZILHADA DO SUL,25332,21.6327175114,17.5272382757,1.1053213327,0.1973788094,0.1184272856,0.3552818569,0.58991281099137,0.52647797458847,0.754776102794009,2739017699,58638.7,Female
Vales,ESTRELA,32224,21.3505461768,13.6854518371,1.6757696127,0,2.6998510427,0.6827209533,0.761747679723992,0.808065227054791,0.855896737221527,9099225411,172866.31,Female
Vales,ESTRELA VELHA,3493,5.7257371887,3.7217291726,0.2862868594,0.2862868594,0,0,0.701115787983559,0.712258061371166,0.829357674264109,829548087,124763.18,Female
Vales,FAZENDA VILA NOVA,4105,17.7831912302,11.6930572473,1.7052375152,0,2.1924482339,0.4872107186,0.550049343403093,0.67268260129612,0.842403386818514,1051423449,135811.5,Female
Vales,FONTOURA XAVIER,10566,12.6821881507,8.0446715881,0.8517887564,0.0946431952,0.1892863903,0.1892863903,0.587410539759886,0.520493953856999,0.793049721752332,1172568957,59331.79,Female
Vales,FORQUETINHA,2558,7.4276778733,5.8639562158,0.3909304144,0,0.7818608288,0,0.544785921712054,0.569544463264349,0.884542641810443,344794447,71176.81,Female
Vales,GRAMADO XAVIER,3728,4.8283261803,3.7553648069,0,0,0,0,0.589051554716649,0.577462142084898,0.807011067270525,478253340,65996.79,Female
Vales,HERVEIRAS,2881,5.5536272128,4.1652204096,0.3471017008,0,0.3471017008,0,0.55873867827611,0.548169004769472,0.854389685806528,370597282,69813.19,Female
Vales,IBARAMA,4280,12.1495327103,8.8785046729,0.2336448598,0.2336448598,0,0,0.634127477523463,0.581105216390307,0.817053650248468,538992462,64840.86,Teste
Vales,ILOPOLIS,4054,13.8135175136,9.1267883572,1.4800197336,0,0.2466699556,0,0.721171446899615,0.714724990869836,0.887772105730184,705261974,96572.58,Teste
Vales,IMIGRANTE,3297,9.7057931453,6.9760388232,0.3033060358,0,0.3033060358,0,0.772472820650698,0.825771513309806,0.848818433871111,1222104538,241909.44,Teste
Vales,ITAPUCA,2389,12.1389702805,7.5345332775,0,1.2557555463,0.8371703642,0,0.621594413317293,0.610609846063154,0.842654155355876,331460308,78967.97,Teste
Vales,LAGOA BONITA DO SUL,2563,10.5345298478,10.1443620757,0.3901677721,0,0,0,0.59243227782207,0.643086805584158,0.820112928579849,380799227,73939.79,Teste
Vales,LAJEADO,77359,31.5541824481,15.8869685492,4.2270453341,0.1421941856,3.3738802208,1.27974767,0.784850464313524,0.818623192950707,0.865485931533587,23019792875,180702.88,Teste
Vales,MARQUES DE SOUZA,4469,13.2020586261,10.2931304542,0.6712911166,0,0.8950548221,0,0.549155830083462,0.619876831913172,0.872748407488974,540189647,73185.71,Teste
Vales,MATO LEITAO,4281,4.2046250876,2.5694931091,0.7007708479,0,0,0,0.747137321490113,0.662978987351852,0.881595926784598,936345191,140319.45,Teste
Vales,MUCUM,4910,20.7739307536,16.700610998,1.4256619145,0,1.83299389,0.2036659878,0.739926800278662,0.735396312393875,0.859067814072103,1659006838,199245.92,Teste
Vales,NOVA BRESCIA,3429,10.7903178769,6.9991251094,0.5832604258,0,1.4581510645,0.8748906387,0.780369201064785,0.775120554665037,0.872261596480313,637562414,101711.13,Teste
Vales,NOVO CABRAIS,3812,8.6568730325,6.29590766,0.2623294858,0,0,0,0.662103431405078,0.626856735268694,0.797342361642275,526461761,73035.33,Teste
Vales,PANTANO GRANDE,10069,16.188300725,11.9177674049,0.9931472837,0,0.9931472837,0.5958883702,0.560949283637928,0.610530420701972,0.75766377054332,1868217021,104677.83,Teste
Vales,PASSA SETE,4947,12.3307054781,10.9157064888,0,0.4042854255,0,0,0.628306801586464,0.419569671586295,0.833724007574446,617082149,64829.26,Teste
Vales,PASSO DO SOBRADO,6335,14.0489344909,9.7868981847,1.8942383583,0,0.1578531965,0.1578531965,0.685669407437938,0.653340702609788,0.800470224938482,1059703039,96028.13,Teste
Vales,PAVERAMA,8557,8.4141638425,5.3757157882,0.7011803202,0.1168633867,0.3505901601,0.2337267734,0.623323739661822,0.581884273614146,0.849174386714328,1062779757,71355.46,Teste
Vales,POCO DAS ANTAS,2009,6.4708810353,6.4708810353,0,0,0,0,0.73143373229993,0.722942777900727,0.888173879749448,338434236,100127.76,Teste
Vales,POUSO NOVO,1722,11.6144018583,8.7108013937,0,0,0,0,0.702156905139344,0.731666648807876,0.903709457237859,347152306,92995.93,Teste
Vales,PROGRESSO,5703,9.2933543749,6.8385060494,0.7013852358,0,0.175346309,0.175346309,0.743316156641237,0.615124522715365,0.853898322725494,836009973,70899.11,Teste
Vales,PUTINGA,4024,16.1530815109,12.4254473161,0.9940357853,0,0.2485089463,0,0.750853529940895,0.608537187630805,0.882060234404643,694679645,80956.71,Teste
Vales,RELVADO,2078,6.2560153994,6.2560153994,0,0,0,0,0.71466680934774,0.704145485659685,0.877018432728915,351577905,84469.08,Teste
Vales,RIO PARDO,37459,20.6892869537,14.5759363571,1.3080968526,0.0533917083,1.8687097894,0.5072212285,0.684821400079419,0.597824042497072,0.774898861233323,5167227744,75410.62,Teste
Vales,ROCA SALES,10689,14.6879970063,12.0684816166,0.6548788474,0,0,0.3742164842,0.70389877167195,0.749276636835914,0.83648247387922,2270064259,125789.56,Teste
Vales,SANTA CLARA DO SUL,6358,6.7631330607,4.2466184335,0.6291286568,0.3145643284,0.786410821,0.1572821642,0.722912216694849,0.725460971412552,0.848651315435196,418372165,144163.28,Female
Vales,SANTA CRUZ DO SUL,126502,25.707103445,16.6874832018,2.6086544086,0.2134353607,0.5454459218,1.0829868302,0.73420383573765,0.854453061626398,0.835070225744135,1329900984,120188.53,Female
Vales,SAO JOSE DO HERVAL,2123,15.0730098917,8.9495996232,1.8841262365,1.4130946773,0,0.4710315591,0.652201303154266,0.619962727637044,0.771511172819575,321816889,80946.8,Female
Vales,SAO VALENTIM DO SUL,2129,8.9243776421,6.1061531235,0,0,0,0,0.800124423416174,0.698873037381441,0.898575255174637,531031547,91761.45,Male
Vales,SEGREDO,6922,10.1126841953,8.2346142733,0,0,0,0,0.632870653837771,0.540994432051907,0.817069232783115,814341179,62982.61,Male
Vales,SERIO,2214,8.1300813008,7.2267389341,0.4516711834,0,0,0,0.614336114763333,0.55370987873223,0.863129823391084,300694012,69648.81,Male
Vales,SINIMBU,9936,9.8631239936,4.2270531401,0.9057971014,0,0,0,0.571328845047927,0.580873907487388,0.846024228281531,1374467815,69019.26,Male
Vales,SOBRADINHO,14557,30.0886171601,24.0434155389,1.0304320945,0.068695473,0.9617366216,0.8243456756,0.716350035631891,0.650247610151948,0.780014381416093,2288088375,88360.62,Male
Vales,TABAI,4220,10.1895734597,5.4502369668,2.3696682464,0,0,0.2369668246,0.783017383053155,0.590244840248908,0.849746354952781,560922790,71198.19,Male
Vales,TAQUARI,26537,15.2993932999,10.3628895504,0.7913479293,0.0376832347,0.7913479293,0.4898820515,0.722946808925749,0.647396365152012,0.790257416141524,4998690098,96890.44,Male
Vales,TEUTONIA,30090,11.1332668661,7.3113991359,0.8308408109,0,0.3655699568,0.0997008973,0.787663489387964,0.771722351722074,0.867224279739344,7677227355,152919.49,Male
Vales,TRAVESSEIRO,2454,3.2599837001,2.0374898126,0,0,0,0,0.761717424270444,0.712078630072157,0.876097628378297,436959766,107621.04,Male
Vales,VALE DO SOL,11421,10.1567288329,7.2673145959,0.7880220646,0,0,0.1751160144,0.530341130450418,0.469584043179645,0.830390456440523,1780711871,84279.83,Male
Vales,VALE VERDE,3214,12.1344119477,11.2009956441,0.3111387679,0,0.3111387679,0,0.572457470336031,0.530125257474066,0.784038521729852,515162754,83262.05,Male
Vales,VENANCIO AIRES,68638,14.758588537,9.9070485737,1.2383810717,0.1456918908,1.0052740464,0.2039686471,0.670654585084951,0.755342178264727,0.841701924215599,20229685404,162968.44,Male
Vales,VERA CRUZ,25133,14.3237973978,10.9020013528,0.9151315004,0,0.4376715872,0.2785182827,0.733513912968749,0.66418040343469,0.825986896275226,4342581738,99903.76,Male
Vales,VESPASIANO CORREA,1899,7.8988941548,6.3191153239,0.5265929437,0,0,0,0.730964459200962,0.730450011953391,0.852271160236801,416590245,112392.06,Male
Vales,WESTFALIA,3102,7.7369439072,7.4145712444,0,0,0,0,0.760628774674876,0.822140233414884,0.846504588115202,797467499,154839.56,Male
